file_name,category,description,transparent,suggested_web_usage,suggested_relative_size,source_sheet,pixel_size,notes
bamboo_bed.png,food_objects,竹床与父子记忆,yes,触感核心热点,medium,sheet2,320x180,无法从人物下无损抽离，作为组合素材
arcade_machine.png,food_objects,立式街机,yes,游戏机厅点缀,small,sheet2,80x120,
down_jacket.png,food_objects,红色羽绒服,yes,店铺商品点缀,small,sheet1,80x185,
torn_paper_title.png,map_ui,撕边纸标题：我记得的小时候,yes,地图标题,medium,sheet1,303x184,
tape_pieces_set.png,map_ui,多种胶带纸片合集,yes,装饰层,small,sheet1,285x130,多个微小胶带紧邻，保留组合素材
stamps_set.png,map_ui,红色印章与圆形标记,yes,地图装饰/档案感,small,sheet1,150x159,组合素材
numbered_location_labels_01_07.png,map_ui,地点编号标签 01–07,yes,地点导航/图例,wide,sheet1,975x75,七个标签紧邻，保留整组以避免损坏文字
city_arrow.png,map_ui,市区方向箭头与返回箭头,yes,路线导向,small,sheet2,145x90,包含双向箭头组合
dotted_route_segments.png,map_ui,红蓝虚线与手绘路线片段,yes,地图路线装饰,medium,sheet2,250x190,路线彼此交叠，组合交付
footprints.png,map_ui,脚印/步行路线装饰,yes,路线点缀,small,sheet1,115x135,
pushpins_hotspots.png,map_ui,彩色图钉与热点标记,yes,可点击热点,small,sheet1,175x90,多个图钉组合
memory_senses_icons.png,map_ui,Memory Senses 图例和图标,yes,感官图例,small,sheet2,125x240,文字与图标为一体，保留组合
memory_card_background.png,map_ui,记忆卡片完整背景框,yes,弹出记忆卡,medium,sheet2,215x250,保留卡片框和内层透明窗口
previous_next_buttons.png,map_ui,上一段记忆/下一段记忆按钮,yes,记忆导航,wide,sheet1,340x91,左右按钮组合
memories_progress.png,map_ui,MEMORIES 3/8 进度牌,yes,阅读进度,small,sheet1,142x107,
paper_notes.png,map_ui,两张手写纸质便签,yes,叙事注释,wide,sheet1,505x142,两张便签相邻，组合交付
ticket_receipt_tags.png,map_ui,公交票、收据、时间标签,yes,城市档案装饰,wide,sheet1,365x120,多个票据紧邻，组合交付
